"# ","Player ","Team ","Mat ","Inns ","NO ","Runs ","4's ","6's ","50's ","100's ","HS ","SR ","Avg "
"1","Wesika","Indonesia U19 Girls","3","3","0","75","8","0","0","0","35","81.52","25.00"
"2","Hane Lohia Tau","Papua New Guniea U19","3","3","0","41","5","0","0","0","24","60.29","13.67"
"3","Dika Lohia","Papua New Guniea U19","3","3","1","36","4","0","0","0","25","52.17","18.00"
"4","Melanie Nadea Ani","Papua New Guniea U19","3","3","0","35","4","0","0","0","26","83.33","11.67"
"5","Desi","Indonesia U19 Girls","3","3","0","35","4","0","0","0","19","55.56","11.67"
"6","Ayu Kurnia","Indonesia U19 Girls","3","3","0","26","1","0","0","0","20","55.32","8.67"
"7","Brenda Imelda Shy Elly","Papua New Guniea U19","3","3","0","18","1","0","0","0","10","29.51","6.00"
"8","Gek Ulan","Indonesia U19 Girls","3","3","2","16","1","0","0","0","15","39.02","16.00"
"9","Ariani","Indonesia U19 Girls","3","3","0","15","2","0","0","0","9","46.88","5.00"
"10","Erani Erica Pokana","Papua New Guniea U19","3","3","1","14","1","0","0","0","14","48.28","7.00"
"11","Buruka Vicky","Papua New Guniea U19","3","3","1","13","1","0","0","0","7","86.67","6.50"
"12","Thersiana Feibrene Catrina Penu Weo","Indonesia U19 Girls","3","3","0","12","0","0","0","0","10","40.00","4.00"
"13","Talia","Indonesia U19 Girls","3","3","0","7","1","0","0","0","6","77.78","2.33"
"14","Shanel Barbara Popoma Ambo","Papua New Guniea U19","3","2","0","6","1","0","0","0","5","50.00","3.00"
"15","Dwik","Indonesia U19 Girls","3","3","0","6","0","0","0","0","3","42.86","2.00"
"16","Yoland","Indonesia U19 Girls","3","3","2","5","0","0","0","0","5","45.45","5.00"
"17","Margaret Diva Anistion Wari","Papua New Guniea U19","3","2","0","5","0","0","0","0","3","29.41","2.50"
"18","Sang Ayu","Indonesia U19 Girls","3","2","0","3","0","0","0","0","3","37.50","1.50"
"19","Sandia","Indonesia U19 Girls","3","2","2","3","0","0","0","0","3","15.00","--"
"20","Mahuta Jayphert","Papua New Guniea U19","3","2","1","2","0","0","0","0","2","33.33","2.00"
"21","Annagrace Vala","Papua New Guniea U19","3","1","0","1","0","0","0","0","1","25.00","1.00"
"22","Cathy Ute","Papua New Guniea U19","3","3","0","1","0","0","0","0","1","16.67","0.33"
"23","Initia Vagi","Papua New Guniea U19","1","0","0","0","0","0","0","0","0","0.00","--"
"24","Karo Veari","Papua New Guniea U19","1","0","0","0","0","0","0","0","0","0.00","--"
"25","Cao","Indonesia U19 Girls","3","0","0","0","0","0","0","0","0","0.00","--"
"26","Apera Ebi","Papua New Guniea U19","1","0","0","0","0","0","0","0","0","0.00","--"
"27","Ika","Indonesia U19 Girls","3","0","0","0","0","0","0","0","0","0.00","--"
"28","Tia Slater","Papua New Guniea U19","1","0","0","0","0","0","0","0","0","0.00","--"
"29","Duna Alex","Papua New Guniea U19","1","0","0","0","0","0","0","0","0","0.00","--"
"30","Helai Vakona","Papua New Guniea U19","3","0","0","0","0","0","0","0","0","0.00","--"
"31","Imelda Vaburi","Papua New Guniea U19","3","1","0","0","0","0","0","0","0","0.00","0.00"
"32","Devi","Indonesia U19 Girls","3","1","0","0","0","0","0","0","0","0.00","0.00"
"33","Oala Boio Kevere","Papua New Guniea U19","3","1","0","0","0","0","0","0","0","0.00","0.00"