"# ","Player ","Team ","Mat ","Inns ","Overs ","Runs ","Wkts ","dots ","Econ ","Avg ","SR ","Hat-trick ","4w ","5w "
"1","Dika Lohia","Papua New Guniea U19","3","3","11.0","41","8","42","3.73","5.12","8.2","0","0","1"
"2","Ariani","Indonesia U19 Girls","3","3","7.3","36","8","30","4.80","4.50","5.6","0","0","0"
"3","Wesika","Indonesia U19 Girls","3","3","11.5","32","4","59","2.70","8.00","17.8","0","0","0"
"4","Erani Erica Pokana","Papua New Guniea U19","3","2","4.0","15","4","14","3.75","3.75","6.0","0","1","0"
"5","Desi","Indonesia U19 Girls","3","3","10.0","43","4","41","4.30","10.75","15.0","0","0","0"
"6","Shanel Barbara Popoma Ambo","Papua New Guniea U19","3","3","10.0","45","4","39","4.50","11.25","15.0","0","0","0"
"7","Buruka Vicky","Papua New Guniea U19","3","3","9.0","21","3","39","2.33","7.00","18.0","0","0","0"
"8","Talia","Indonesia U19 Girls","3","3","12.0","41","3","42","3.42","13.67","24.0","0","0","0"
"9","Yoland","Indonesia U19 Girls","3","3","10.0","56","3","35","5.60","18.67","20.0","0","0","0"
"10","Ayu Kurnia","Indonesia U19 Girls","3","2","4.2","15","2","21","3.46","7.50","13.0","0","0","0"
"11","Mahuta Jayphert","Papua New Guniea U19","3","3","7.0","28","2","27","4.00","14.00","21.0","0","0","0"
"12","Melanie Nadea Ani","Papua New Guniea U19","3","1","1.0","4","1","3","4.00","4.00","6.0","0","0","0"
"13","Hane Lohia Tau","Papua New Guniea U19","3","3","10.0","55","1","35","5.50","55.00","60.0","0","0","0"
"14","Imelda Vaburi","Papua New Guniea U19","3","2","6.0","24","0","23","4.00","0","0.0","0","0","0"
"15","Annagrace Vala","Papua New Guniea U19","3","1","2.0","21","0","6","10.50","0","0.0","0","0","0"